Day,Tweets
22-Apr,5.516.244
21-Apr,6.008.042
20-Apr,5.810.496
19-Apr,5.175.810
18-Apr,5.419.778
17-Apr,6.173.599
16-Apr,6.520.457
15-Apr,4.523.566
14-Apr,6.224.231
13-Apr,5.983.456
12-Apr,5.634.998
11-Apr,6.365.919
10-Apr,7.228.651
9-Apr,7.583.556
8-Apr,7.888.811
7-Apr,7.877.346
6-Apr,8.153.966
5-Apr,7.421.877
4-Apr,7.928.225
3-Apr,9.357.113
2-Apr,9.767.918
1-Apr,10.402.981
31-Mar,10.442.432
30-Mar,10.125.714
29-Mar,9.333.426
28-Mar,10.434.671
27-Mar,12.209.011
26-Mar,12.236.719
25-Mar,13.000.269
24-Mar,14.445.841
23-Mar,15.446.246
22-Mar,14.392.561
21-Mar,12.861.351
20-Mar,15.200.259
19-Mar,16.582.131
18-Mar,16.561.524
17-Mar,17.417.142
16-Mar,17.227.182
15-Mar,16.438.760
14-Mar,16.823.148
13-Mar,19.802.671
12-Mar,18.799.722
11-Mar,9.923.317
10-Mar,8.284.672
9-Mar,6.386.122
8-Mar,4.533.476
7-Mar,4.632.239
6-Mar,4.581.032
5-Mar,4.323.687
4-Mar,4.323.670
3-Mar,4.342.139
2-Mar,4.240.721
1-Mar,3.632.689
29-Feb,4.666.121
28-Feb,5.685.321
27-Feb,4.597.412
26-Feb,3.989.533
25-Feb,2.844.369
24-Feb,1.643.544
23-Feb,1.233.511
22-Feb,997.638
21-Feb,954.321
20-Feb,622.349
19-Feb,626.237
18-Feb,628.043
17-Feb,626.732
16-Feb,625.127
15-Feb,624.555
14-Feb,622.722
13-Feb,956.877
12-Feb,911.098
11-Feb,908.627
10-Feb,807.654
9-Feb,796.739
8-Feb,803.453
7-Feb,987.563
6-Feb,834.673
5-Feb,803.587
4-Feb,997.862
3-Feb,1.000.752
2-Feb,1.298.476
1-Feb,1.287.963
31-Jan,1.997.635
30-Jan,2.010.976
29-Jan,1.623.497
28-Jan,1.497.653
27-Jan,1.467.598
26-Jan,1.678.953
25-Jan,1.536.784
24-Jan,1.153.245
23-Jan,905.673
22-Jan,508.623
21-Jan,259.864
20-Jan,100.124
19-Jan,20.987
18-Jan,23.432
17-Jan,22.431
16-Jan,22.342
15-Jan,10.987
14-Jan,10.023
13-Jan,16.475
12-Jan,10.045
11-Jan,2.812
10-Jan,2.347
9-Jan,3.451
8-Jan,421
7-Jan,293
6-Jan,86
5-Jan,127
4-Jan,172
3-Jan,94
2-Jan,41
1-Jan,63